diffusion_alpha,hop,lambda2,ndcg_at_5,f1_at_5,param_change_norm,param_disagreement,topk_margin,score_bound,pairwise_gap,empirical_score_delta,bound_holds_rate,global_certificate_rate,pairwise_certificate_rate,topk_changed_rate,global_certificate_violations,pairwise_certificate_violations
0.1,1,0.4780083768632897,0.7389538924335054,0.4659829553661706,0.8851142538315845,53.08282101262521,0.5256717885468679,4.538310064207968,-6.862788775691979,0.2783156043960062,1.0,0.0,0.0,0.042467138523761376,0,0
0.1,2,0.4454626366689422,0.7398408644409249,0.4662718474649718,0.7714294596840213,42.06466862242185,0.5120706243028053,3.801910041082967,-5.6567393915486965,0.2181778063788573,1.0,0.0,0.0,0.03538928210313448,0,0
0.1,3,0.44493544298812543,0.7408468667105644,0.4671385237613751,0.6726572245506683,33.554816521190716,0.5016542432643285,3.2032839710653755,-4.675180987141952,0.17187056545058926,1.0,0.0,0.0,0.03134479271991911,0,0
0.1,4,0.44457433193656376,0.74104116455513,0.46713852376137505,0.5882866050309427,26.95619210606636,0.493675904022671,2.7226258008167115,-3.885801767746844,0.13656809489093005,1.0,0.0,0.0,0.044489383215369056,0,0
0.1,5,0.44433862601592716,0.7422194154737065,0.4674274158601762,0.5160910099263232,21.804346958136772,0.48712739920953646,2.3333476849282477,-3.2456005308174904,0.10938665216564529,1.0,0.0,0.0,0.025278058645096056,0,0
0.2,1,0.4780083768632898,0.7398360800761439,0.46656073956377286,1.770228507663169,53.08282101262521,0.5256717885468679,9.326331940771217,-14.995413257423587,0.5230039490727733,1.0,0.0,0.0,0.08291203235591507,0,0
0.2,2,0.4454550520540221,0.7414646094210191,0.466849631662574,1.3192744345041354,32.54464846646679,0.49995725100937216,6.4075253865472135,-10.03649410082609,0.3148346947104914,1.0,0.0,0.0,0.07684529828109202,0,0
0.2,3,0.4445626484971475,0.7415546954466943,0.4662718474649718,0.9928851598238264,20.63174627892099,0.48566939161207123,4.560068572796281,-6.905217819296811,0.19593085624330325,1.0,0.0,0.0,0.054600606673407485,0,0
0.2,4,0.4442167628190864,0.7409508737113643,0.4645384948721652,0.7598042220040806,13.52176010387736,0.4779033389835194,3.3771094972463906,-4.912378127454617,0.12685788220173186,1.0,0.0,0.0,0.0455005055611729,0,0
0.2,5,0.4441562879625521,0.7404804349140338,0.4645384948721652,0.5911783364848587,9.123333632235985,0.47329436126565305,2.58783963845233,-3.589078422853035,0.08538702952970267,1.0,0.0,0.0,0.022244691607684528,0,0
0.4,1,0.4780083768632897,0.7429462678091151,0.4677163079589773,3.5404570153263393,53.08282101262521,0.5256717885468679,19.651517081414838,-33.21046803715886,0.9131792248259661,1.0,0.0,0.0,0.17391304347826086,0,0
0.4,2,0.37580864591644997,0.7416913104733877,0.46511627906976744,1.783431052926963,17.999004857301554,0.48215818573900615,8.494111350644044,-13.543560914761107,0.3076795470967693,1.0,0.0,0.0,0.09504550050556117,0,0
0.4,3,0.3748329237110385,0.73929995987804,0.46309403437815977,0.9996487842845754,7.582308444213453,0.47111792820228005,4.603670292870107,-6.793638711487669,0.12911806287972824,1.0,0.0,0.0,0.056622851365015166,0,0
0.4,4,0.22599673435432532,0.7395941343293807,0.46309403437815977,0.6401347742263483,3.7124470184066674,0.463494632675626,3.0484313162727994,-4.166677445129215,0.07193296754128169,1.0,0.0,0.0,0.046511627906976744,0,0
0.4,5,0.16432504245336582,0.7393686510974061,0.4633829264769608,0.3974671830355438,2.0964018552362687,0.46048153090103333,2.0170100180956423,-2.3819538935695004,0.04438727685034697,1.0,0.0,0.004044489383215369,0.020222446916076844,0,0
0.6,1,0.47800837686328945,0.7417357445760283,0.4656940632673696,5.310685522989507,53.08282101262521,0.5256717885468679,30.975570971434752,-53.710591957234584,1.1765854551830717,1.0,0.0,0.0,0.2517694641051567,0,0
0.6,2,0.3752498207129058,0.7394923527016879,0.4622273580817564,1.6590301425260214,9.445890185129517,0.47253451783387074,8.503121056251407,-13.309293233590733,0.22541144363680068,1.0,0.0,0.0,0.1051567239635996,0,0
0.6,3,0.16104867073377324,0.7389811759837069,0.4628051422793586,0.7575559840711574,2.9564720972259613,0.4624123180207878,4.013294038813013,-5.592057823433302,0.086837704957315,1.0,0.0,0.0,0.04954499494438827,0,0
0.6,4,0.10249458504329081,0.7383736734255809,0.4625162501805575,0.3505715279139882,1.440456152088569,0.45811909500460535,2.0054959097257954,-2.2477127418162928,0.04127671779769014,1.0,0.0,0.00910010111223458,0.028311425682507583,0,0
